Title,Year,Type,Released,Runtime(in mins),Genre,Director,Language,Country,Production,Awards,Nominations,Wins,IMDB Rating,Rotten Tomatoes,Metacritic,Metascore,imdbVotes,BoxOffice,Multigenre,Multilanguage,Multicompany,Multicountry
Fred: The Movie,2010,movie,18 Sep 2010,81,"Adventure, Comedy, Family",Clay Weiner,English,United States,N/A,1 nomination,1,0,2.1,0%,N,N/A,"9,122",N/A,Yes,No,No,No
"Ultramarines: A Warhammer 40,000 Movie",2010,movie,13 Dec 2010,76,"Animation, Action, Fantasy",Martyn Pick,English,United Kingdom,N/A,N/A,0,0,5.6,N/A,N,N/A,"6,355",N/A,Yes,No,No,No
The Drawn Together Movie!,2010,movie,18 Mar 2010,70,"Animation, Comedy, Mystery",Greg Franklin,English,United States,N/A,N/A,0,0,6.1,N/A,N,N/A,"4,673",N/A,Yes,No,No,No
Bleach the Movie: Hell Verse,2010,movie,04 Dec 2012,94,"Animation, Action, Adventure","Noriyuki Abe, Yuzuru Tachikawa",Japanese,Japan,N/A,4 nominations,4,0,7.3,N/A,N,N/A,"3,269",N/A,Yes,No,No,No
Khichdi: The Movie,2010,movie,01 Oct 2010,120,"Comedy, Family",Aatish Kapadia,Hindi,India,N/A,3 nominations,3,0,7.3,N/A,N,N/A,"3,093",N/A,Yes,No,No,No
Gintama: The Movie,2010,movie,24 Apr 2010,96,"Animation, Action, Comedy",Shinji Takamatsu,Japanese,Japan,N/A,1 win & 4 nominations,4,1,7.6,N/A,N,N/A,"2,333",N/A,Yes,No,No,No
The Parking Lot Movie,2010,movie,06 Aug 2010,74,Documentary,Meghan Eckman,English,United States,N/A,1 nomination,1,0,7.0,78%,63,63,"2,048",N/A,No,No,No,No
Oki's Movie,2010,movie,18 Apr 2012,80,"Comedy, Drama",Hong Sang-soo,Korean,South Korea,N/A,5 wins & 3 nominations,3,5,6.8,85%,78,78,"1,362",N/A,Yes,No,No,No
Iris: The Movie,2010,movie,22 Nov 2010,125,"Action, Adventure, Drama","Kyoo-tae Kim, Yun-ho Yang",Korean,South Korea,N/A,N/A,0,0,5.9,N/A,N,N/A,"1,182",N/A,Yes,No,No,No
The Greatest Movie Ever Sold,2011,movie,24 Aug 2011,90,"Documentary, Comedy",Morgan Spurlock,English,United States,N/A,2 wins & 5 nominations,5,2,6.6,72%,66,66,"15,269","$638,476",Yes,No,No,No
Phineas and Ferb the Movie: Across the 2nd Dimension,2011,movie,05 Aug 2011,78,"Animation, Action, Adventure","Robert Hughes, Dan Povenmire, Jay Lender","Mandarin, Chinese, Min Nan, English","United States, Taiwan, China",N/A,Nominated for 1 Primetime Emmy. 3 wins & 4 nominations total,4,3,7.4,100%,N,N/A,"14,001",N/A,Yes,Yes,No,Yes
Glee: The 3D Concert Movie,2011,movie,12 Aug 2011,84,"Documentary, Comedy, Music","Kevin Tancharoen, Jennifer Arnold",English,United States,N/A,N/A,0,0,5.6,60%,48,48,"6,067","$11,862,398",Yes,No,No,No
Naruto Shippuden the Movie: Blood Prison,2011,movie,18 Feb 2014,108,"Animation, Action, Fantasy",Masahiko Murata,Japanese,Japan,N/A,1 nomination,1,0,7.1,N/A,N,N/A,"6,029",N/A,Yes,No,No,No
The Suite Life Movie,2011,movie,25 Mar 2011,79,"Adventure, Comedy, Crime",Sean McNamara,English,United States,N/A,N/A,0,0,5.1,N/A,N,N/A,"4,761",N/A,Yes,No,No,No
"A Fairly Odd Movie: Grow Up, Timmy Turner!",2011,movie,09 Jul 2011,48,"Comedy, Family, Fantasy",Savage Steve Holland,English,"United States, Canada, South Korea",N/A,1 nomination,1,0,3.8,N/A,N,N/A,"3,838",N/A,Yes,No,No,Yes
